Table S-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor’s degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Bachelor's degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Michigan,"757,970","759,115","753,760","739,240","714,045","703,205","711,955","721,155","740,685","759,510","764,125","781,050","812,000","842,895","851,380",,"2,708,190","2,658,755","2,601,061","2,537,217","2,476,233","2,433,561","2,409,274","2,393,977","2,389,287","2,390,322","2,394,081","2,409,397","2,432,008","2,455,853","2,477,786",,28.0,28.6,29.0,29.1,28.8,28.9,29.6,30.1,31.0,31.8,31.9,32.4,33.4,34.3,34.4
Minnesota,"511,400","500,910","512,435","519,390","520,360","529,150","535,145","546,610","547,700","565,365","574,010","576,235","608,765","627,510","647,145",,"1,423,781","1,412,852","1,411,388","1,405,692","1,399,672","1,396,159","1,399,164","1,402,927","1,409,925","1,415,326","1,419,161","1,427,341","1,447,757","1,469,532","1,488,193",,35.9,35.5,36.3,36.9,37.2,37.9,38.2,39.0,38.8,39.9,40.4,40.4,42.0,42.7,43.5
Mississippi,"152,605","159,020","156,955","155,485","161,960","159,265","162,730","168,990","166,210","182,480","172,140","177,815","172,680","191,955","172,285",,"774,027","767,066","768,082","767,502","764,156","762,784","761,330","760,060","759,121","759,720","758,367","758,663","759,739","760,028","759,501",,19.7,20.7,20.4,20.3,21.2,20.9,21.4,22.2,21.9,24.0,22.7,23.4,22.7,25.3,22.7
Missouri,"429,500","436,850","443,270","443,525","456,595","461,865","466,570","473,755","485,785","502,075","504,000","515,485","522,985","543,295","561,540",,"1,551,228","1,547,126","1,542,309","1,532,837","1,527,653","1,525,122","1,524,815","1,523,685","1,527,008","1,531,007","1,534,969","1,540,260","1,554,360","1,566,585","1,579,626",,27.7,28.2,28.7,28.9,29.9,30.3,30.6,31.1,31.8,32.8,32.8,33.5,33.6,34.7,35.5
Montana,"63,695","68,280","64,465","68,490","71,370","74,345","76,275","76,565","76,940","77,290","85,630","82,740","87,375","90,275","102,260",,"228,195","228,548","231,371","233,215","234,399","236,034","237,427","239,094","242,514","245,312","248,723","252,613","258,978","263,814","268,181",,27.9,29.9,27.9,29.4,30.4,31.5,32.1,32.0,31.7,31.5,34.4,32.8,33.7,34.2,38.1
Nebraska,"149,235","145,720","147,775","146,230","148,520","157,755","153,065","162,440","165,205","170,245","171,645","182,720","184,645","194,440","202,530",,"460,291","458,133","458,373","459,084","462,372","466,948","469,569","472,494","475,873","478,381","480,098","484,109","489,353","494,304","498,477",,32.4,31.8,32.2,31.9,32.1,33.8,32.6,34.4,34.7,35.6,35.8,37.7,37.7,39.3,40.6
Nevada,"143,300","151,980","160,040","163,620","167,405","163,595","161,565","172,600","169,110","179,205","185,210","187,330","206,175","210,080","219,215",,"724,049","747,896","765,237","774,847","774,536","769,133","765,448","769,733","774,643","783,657","796,693","810,183","826,662","845,578","863,621",,19.8,20.3,20.9,21.1,21.6,21.3,21.1,22.4,21.8,22.9,23.2,23.1,24.9,24.8,25.4
New Hampshire,"122,680","121,670","123,285","124,820","118,845","116,700","118,255","120,500","117,740","121,535","125,270","128,275","129,180","129,505","139,730",,"355,033","348,846","342,511","335,808","328,416","322,559","318,995","316,194","314,134","314,113","313,666","315,021","319,045","323,747","329,316",,34.6,34.9,36.0,37.2,36.2,36.2,37.1,38.1,37.5,38.7,39.9,40.7,40.5,40.0,42.4
New Jersey,"943,940","940,690","922,810","935,585","935,350","951,630","945,455","979,215","983,365","993,140","1,009,300","1,023,980","1,074,840","1,090,140","1,101,485",,"2,485,042","2,446,589","2,413,538","2,389,516","2,364,261","2,344,286","2,328,999","2,313,217","2,299,058","2,284,721","2,271,736","2,264,293","2,272,217","2,281,791","2,289,971",,38.0,38.4,38.2,39.2,39.6,40.6,40.6,42.3,42.8,43.5,44.4,45.2,47.3,47.8,48.1
New Mexico,"110,560","116,420","116,115","114,535","117,145","114,135","119,740","125,180","129,510","120,695","119,745","130,290","128,830","135,395","137,595",,"505,077","507,378","509,824","508,578","511,617","517,353","521,267","522,937","525,089","524,381","525,210","527,777","530,795","534,244","538,933",,21.9,22.9,22.8,22.5,22.9,22.1,23.0,23.9,24.7,23.0,22.8,24.7,24.3,25.3,25.5
